"month_and_year","coin_name","avg_close","max_high","min_low","total_volume"
"2019-02",Ethereum,127.22,165.54962,102.93456,101430992896
"2019-03",Binance Coin,15.06,17.56834,10.325634,5192235008
"2019-03",Bitcoin,3976.07,4296.8066,3733.7498,297952804864
"2019-03",Dogecoin,0.00,0.0021656738,0.0019467723,562498624
"2019-03",Ethereum,137.33,149.61324,125.4027,138882105344
"2019-04",Binance Coin,20.70,25.53341,16.589218,6674484224
"2019-04",Bitcoin,5178.47,5642.0444,4096.9014,445364568064
"2019-04",Dogecoin,0.00,0.004095577,0.0020781786,1400015488
"2019-04",Ethereum,165.60,184.37785,140.73756,204556828672
"2019-05",Binance Coin,26.99,35.5045,18.467089,12227898368
"2019-05",Bitcoin,7309.69,9008.314,5347.646,724157923328
"2019-05",Dogecoin,0.00,0.0035995895,0.0024491446,1675945344
"2019-05",Ethereum,220.19,287.20163,159.66022,314349027328
"2019-06",Binance Coin,33.85,39.566536,29.183624,13135493120
"2019-06",Bitcoin,9415.90,13796.489,7564.489,675855400960
"2019-06",Dogecoin,0.00,0.0035225116,0.0029775645,1842322432
"2019-06",Ethereum,274.76,361.39868,229.25743,270589689856
"2019-07",Binance Coin,30.12,34.313126,24.903645,9419361280
"2019-07",Bitcoin,10669.34,13129.529,9163.135,676416389120
"2019-07",Dogecoin,0.00,0.004470863,0.0027721378,1162658816
"2019-07",Ethereum,248.29,318.2231,193.99042,249663356928
"2019-08",Binance Coin,27.33,31.30161,21.190308,6862255104
"2019-08",Bitcoin,10643.25,12273.821,9421.63,533985001472
"2019-08",Dogecoin,0.00,0.003316047,0.0023921,692307136
"2019-08",Ethereum,199.82,239.1159,167.07141,203391533056
"2019-09",Binance Coin,20.19,23.535213,14.841279,5460324352
"2019-09",Bitcoin,9814.07,10898.762,7830.759,480544948224
"2019-09",Dogecoin,0.00,0.0029933185,0.0020759045,1158043520
"2019-09",Ethereum,185.99,222.87169,157.13033,223404670976
"2019-10",Binance Coin,17.74,20.917786,15.191025,6832110080
"2019-10",Bitcoin,8411.93,10021.744,7446.989,595205095424
"2019-10",Dogecoin,0.00,0.0029316633,0.0022834218,1988136576
"2019-10",Ethereum,179.25,195.9425,157.46342,251679539200
"2019-11",Binance Coin,18.75,21.635714,14.1953535,7004616704
"2019-11",Bitcoin,8373.57,9505.052,6617.167,676919508992
"2019-11",Dogecoin,0.00,0.0027847006,0.0021276313,2615821568
"2019-11",Ethereum,173.65,193.54724,133.80234,252844982272
"2019-12",Binance Coin,14.32,16.07777,12.183731,6041932288
"2019-12",Bitcoin,7284.01,7743.4316,6540.0493,633790332928
"2019-12",Dogecoin,0.00,0.0023942352,0.0019969686,2184690432
"2019-12",Ethereum,138.04,153.1554,119.78006,247117529088
"2020-01",Binance Coin,16.29,18.840961,12.989974,7200614400
"2020-01",Bitcoin,8389.27,9553.126,6914.996,852872134656
"2020-01",Dogecoin,0.00,0.0025699674,0.001983124,2631362048
"2020-01",Ethereum,156.97,186.26048,126.49002,327976452096
"2020-02",Binance Coin,21.93,27.117456,17.824158,11910577152
"2020-02",Bitcoin,9630.72,10457.627,8492.933,1163376459776
"2020-02",Dogecoin,0.00,0.0035309077,0.0022111912,4372172800
"2020-02",Ethereum,238.76,287.1237,179.74518,578092531712
"2020-03",Binance Coin,14.09,21.701672,6.963391,11037849600
"2020-03",Bitcoin,6871.02,9167.695,4106.981,1290441981952
"2020-03",Dogecoin,0.00,0.0025307,0.0012470573,4611118592
"2020-03",Ethereum,160.38,249.97849,95.1843,498921406464
"2020-04",Binance Coin,15.20,18.129528,12.057843,12590982144
"2020-04",Bitcoin,7224.48,9440.65,6202.3735,1156127129600
"2020-04",Dogecoin,0.00,0.0026891136,0.0017755235,5522934784
"2020-04",Ethereum,171.95,227.5297,129.73094,532158873600
"2020-05",Binance Coin,16.61,18.108484,14.28438,10714128384
"2020-05",Bitcoin,9263.15,9996.743,8374.323,1286367870976
"2020-05",Dogecoin,0.00,0.0026780798,0.002338202,7437597184
"2020-05",Ethereum,208.13,244.04526,180.71834,505593298944
"2020-06",Binance Coin,16.57,18.156345,15.020651,6045041664
"2020-06",Bitcoin,9489.23,10199.565,8975.525,650913382400
"2020-06",Dogecoin,0.00,0.0026692078,0.002282779,5370527744
"2020-06",Ethereum,236.16,252.222,219.47267,252220702720
"2020-07",Binance Coin,17.81,20.838476,15.245029,6223573504
"2020-07",Bitcoin,9589.90,11415.864,8977.016,545813299200
"2020-07",Dogecoin,0.00,0.0054200157,0.0022769207,4773261824
"2020-07",Ethereum,259.41,348.61136,224.5445,251431960576
"2020-08",Binance Coin,22.53,23.914165,19.972687,7968314880
"2020-08",Bitcoin,11652.39,12359.057,11012.415,708377182208
"2020-08",Dogecoin,0.00,0.0037966138,0.0031654735,2162711296
"2020-08",Ethereum,402.15,444.57776,343.58743,374122807296
"2020-09",Binance Coin,25.50,33.48782,18.183708,16519089152
"2020-09",Bitcoin,10660.28,12067.081,9916.493,1075949404160
"2020-09",Dogecoin,0.00,0.003281199,0.00253555,3034387200
"2020-09",Ethereum,368.37,487.21188,316.77435,518354337792
"2020-10",Binance Coin,29.48,32.34507,25.89403,15356631040
"2020-10",Bitcoin,11886.98,14028.214,10416.689,1050874413056
"2020-10",Dogecoin,0.00,0.00289283,0.00251772,2740061184
"2020-10",Ethereum,376.22,420.14166,334.54556,416749223936
"2020-11",Binance Coin,28.79,35.282307,25.89715,11234149376
"2020-11",Bitcoin,16645.76,19749.264,13243.16,1093144870912
"2020-11",Dogecoin,0.00,0.0042563,0.00245235,2087948800
"2020-11",Ethereum,486.14,621.1734,371.31274,487476396032
"2020-12",Binance Coin,31.46,39.484234,26.765226,13047860224
"2020-12",Bitcoin,21983.14,29244.877,17619.533,1212259893248
"2020-12",Dogecoin,0.00,0.00540576,0.00300878,3671185664
"2020-12",Ethereum,622.49,754.3032,532.9984,470673457152
"2021-01",Binance Coin,41.75,47.098103,35.170883,18898999296
"2021-01",Bitcoin,34761.65,41946.74,28722.756,2153473376256
"2021-01",Dogecoin,0.01,0.07797325,0.00461528,69176614912
"2021-01",Ethereum,1202.50,1467.7849,718.1095,1181644226560
"2021-02",Binance Coin,157.67,342.87958,43.524193,122028883968
"2021-02",Bitcoin,46306.80,58330.57,32384.229,2267152908288
"2021-02",Dogecoin,0.06,0.08494506,0.02919459,134644154368
"2021-02",Ethereum,1699.81,2036.2865,1274.3578,1007718039552
"2021-03",Binance Coin,260.72,316.48654,209.95131,109661913088
"2021-03",Bitcoin,54998.01,61683.863,45115.094,1681184129024
"2021-03",Dogecoin,0.05,0.06305245,0.04787887,38710898688
"2021-03",Ethereum,1736.86,1947.8378,1416.4161,730832240640
"2021-04",Binance Coin,489.27,637.4423,301.58865,178737758208
"2021-04",Bitcoin,57206.72,64863.098,47159.484,1844481753088
"2021-04",Dogecoin,0.19,0.43770006,0.05364425,351156895744
"2021-04",Ethereum,2297.67,2797.9724,1912.1785,995334225920
"2021-05",Binance Coin,494.57,690.93195,213.51646,146862620672
"2021-05",Bitcoin,46443.29,59519.355,30681.496,1976593678336
"2021-05",Dogecoin,0.44,0.7375666,0.21826701,414762172416
"2021-05",Ethereum,3140.73,4362.3506,1737.4688,1510329942016
"2021-06",Binance Coin,339.94,432.3081,226.29784,79211175936
"2021-06",Bitcoin,35845.15,41295.27,28893.621,1189647482880
"2021-06",Dogecoin,0.30,0.44459,0.1646538,100113997824
"2021-06",Ethereum,2335.79,2891.255,1707.6006,813523140608
"2021-07",Binance Coin,300.82,321.52097,277.3503,8700735488
"2021-07",Bitcoin,34234.45,35937.566,32770.68,179099009024
"2021-07",Dogecoin,0.24,0.26009184,0.22783804,8209814528
"2021-07",Ethereum,2222.46,2384.2869,2021.8248,138074030080
