"date","coin_name","symbol","open_price","close_price","high_price","low_price","volume","market_cap"
2018-01-11,Binance Coin,BNB,17.5666,21.0427,23.1525,15.2863,389228000,2083521920
2018-01-12,Binance Coin,BNB,21.4758,22.3163,24.9121,19.9304,387537984,2209626112
2018-01-13,Binance Coin,BNB,22.3453,22.1744,23.6669,21.3734,181676000,2195576064
2018-01-14,Binance Coin,BNB,22.2535,20.7773,22.2535,19.138,129239000,2057243520
2018-01-15,Binance Coin,BNB,20.8004,19.5647,23.6048,19.3309,244154000,1937179264
2018-01-16,Binance Coin,BNB,19.634,13.8919,19.634,10.435,399951008,1375492608
2018-01-17,Binance Coin,BNB,13.623,14.2032,15.5378,9.65534,299411008,1406315648
2018-01-18,Binance Coin,BNB,14.2506,14.2804,15.9596,13.5127,204899008,1413959552
2018-01-19,Binance Coin,BNB,14.3106,14.9406,15.6351,13.989,139882000,1479328512
2018-01-20,Binance Coin,BNB,15.0342,16.1903,16.6524,15.0342,156744992,1603066368
2018-01-21,Binance Coin,BNB,16.2489,14.0683,16.2489,13.3591,141562000,1392958720
2018-01-22,Binance Coin,BNB,14.1987,13.0146,14.4503,11.9146,138026000,1288627584
2018-01-23,Binance Coin,BNB,13.0015,13.0935,13.9627,11.785,91706200,1296439808
2018-01-24,Binance Coin,BNB,13.1906,13.6287,14.1906,12.7892,105736000,1349432064
2018-01-25,Binance Coin,BNB,13.7605,13.2284,14.1374,13.065,105648000,1309796736
2018-01-26,Binance Coin,BNB,13.2109,13.2182,13.5905,12.2947,113429000,1308786816
2018-01-27,Binance Coin,BNB,13.2332,13.253,13.4414,12.8942,84009400,1312232576
2018-01-28,Binance Coin,BNB,13.3017,13.5402,13.8125,13.2038,93871104,1340669312
2018-01-29,Binance Coin,BNB,13.5454,12.7645,13.6727,12.677,71294304,1263864192
2018-01-30,Binance Coin,BNB,12.7736,11.2507,12.7736,11.0571,59389600,1113976832
2018-01-31,Binance Coin,BNB,11.2683,11.145,11.4132,10.5684,50435000,1103511040
2018-02-01,Binance Coin,BNB,11.1783,9.51584,11.3944,8.70742,82984200,942201408
2018-02-02,Binance Coin,BNB,9.40796,9.65229,10.4585,7.21813,91468200,955711872
2018-02-03,Binance Coin,BNB,9.69666,9.74968,10.2724,8.61168,56556200,965354816
2018-02-04,Binance Coin,BNB,9.74564,8.45864,9.74564,8.10275,49990000,837523776
2018-02-05,Binance Coin,BNB,8.42753,6.70503,8.55172,6.12961,55276900,663891840
2018-02-06,Binance Coin,BNB,6.80627,8.28885,8.55554,5.59007,97189904,820712192
2018-02-07,Binance Coin,BNB,8.31528,8.09501,9.22497,7.35103,77970304,801519296
2018-02-08,Binance Coin,BNB,8.09372,8.5955,8.72122,8.09372,82496000,851074816
2018-02-09,Binance Coin,BNB,8.60666,9.73046,9.88927,8.34315,9284.19,963451776
2018-02-10,Binance Coin,BNB,9.73273,9.25597,10.3632,8.84852,80123200,916470592
2018-02-11,Binance Coin,BNB,9.20087,8.70491,9.34548,8.14445,68554600,861907968
2018-02-12,Binance Coin,BNB,8.71145,9.32247,9.40375,8.71145,50792600,923055040
2018-02-13,Binance Coin,BNB,9.31767,8.98678,9.34794,8.77337,41593400,889817024
2018-02-14,Binance Coin,BNB,9.01591,10.4006,10.6498,8.99024,68781600,1029804992
2018-02-15,Binance Coin,BNB,10.3907,10.9311,11.2839,10.1012,108962000,1082331904
2018-02-16,Binance Coin,BNB,10.9149,11.2016,11.2016,10.4295,71131800,1109115264
2018-02-17,Binance Coin,BNB,11.0765,11.6893,11.8707,10.9528,76093504,1157404288
2018-02-18,Binance Coin,BNB,11.6926,10.7024,11.7003,10.6801,62044700,1059687424
2018-02-19,Binance Coin,BNB,10.6668,11.0757,11.1949,10.6515,54898800,1096649344
2018-02-20,Binance Coin,BNB,11.0913,9.90451,11.1927,9.7934,66512400,980685184
2018-02-21,Binance Coin,BNB,9.87767,9.38079,10.1942,9.14725,55087600,928829568
2018-02-22,Binance Coin,BNB,9.40474,8.90403,9.80875,8.71297,47216100,881623616
2018-02-23,Binance Coin,BNB,8.8734,9.69211,9.73303,8.66057,53626800,959654592
2018-02-24,Binance Coin,BNB,9.68752,9.14191,9.83537,8.77797,48709200,905177088
2018-02-25,Binance Coin,BNB,9.15324,9.3466,9.49441,8.94258,43814500,925444224
