"date","coin_name","daily_return"
2017-04-30,Ethereum,15.5671
2017-05-04,Ethereum,21.6553
2017-05-19,Ethereum,33.6621
2017-05-21,Ethereum,24.8307
2017-05-22,Ethereum,10.3358
2017-05-29,Ethereum,14.3088
2017-05-30,Ethereum,18.9842
2017-06-10,Ethereum,19.8522
2017-06-12,Ethereum,17.8742
2017-06-26,Ethereum,-10.0762
2017-06-28,Ethereum,11.8869
2017-07-10,Ethereum,-11.0599
2017-07-12,Ethereum,16.9044
2017-07-15,Ethereum,-14.5281
2017-07-17,Ethereum,22.9158
2017-07-18,Ethereum,21.1799
2017-07-19,Ethereum,-14.7992
2017-07-20,Ethereum,13.8015
2017-08-01,Ethereum,11.2316
2017-08-05,Ethereum,14.9879
2017-08-08,Ethereum,10.2493
2017-09-04,Ethereum,-15.0548
2017-09-14,Ethereum,-22.8081
2017-09-15,Ethereum,17.0896
2017-09-18,Ethereum,16.5832
2017-10-13,Ethereum,11.3834
2017-11-24,Ethereum,15.7851
2017-12-11,Ethereum,16.6202
2017-12-12,Ethereum,26.4581
2017-12-18,Ethereum,10.3712
2017-12-22,Ethereum,-17.8066
2017-12-25,Ethereum,10.3272
2018-01-02,Ethereum,14.4702
2018-01-07,Ethereum,10.7029
2018-01-09,Ethereum,13.1655
2018-01-12,Ethereum,10.2404
2018-01-16,Ethereum,-18.4400
2018-01-20,Ethereum,11.1683
2018-01-28,Ethereum,12.5503
2018-02-02,Ethereum,-11.6711
2018-02-04,Ethereum,-13.4164
2018-02-05,Ethereum,-16.3812
2018-02-06,Ethereum,13.6358
2018-03-14,Ethereum,-11.0789
2018-03-29,Ethereum,-13.5142
2018-04-12,Ethereum,14.4937
2018-04-24,Ethereum,10.2109
2018-04-25,Ethereum,-13.0962
2018-05-03,Ethereum,13.4460
2018-06-10,Ethereum,-11.8955
2018-06-22,Ethereum,-11.6712
2018-08-13,Ethereum,-10.3498
2018-09-05,Ethereum,-18.6866
2018-09-13,Ethereum,15.2855
2018-09-17,Ethereum,-10.2970
2018-10-11,Ethereum,-16.0651
2018-11-14,Ethereum,-12.2949
2018-11-19,Ethereum,-15.7522
2018-11-20,Ethereum,-12.6268
2018-11-28,Ethereum,11.2972
2018-12-06,Ethereum,-10.4557
2018-12-17,Ethereum,11.5781
2018-12-20,Ethereum,14.7610
2018-12-23,Ethereum,11.9954
2018-12-27,Ethereum,-11.5949
2018-12-28,Ethereum,18.0750
2019-01-02,Ethereum,10.1039
2019-01-10,Ethereum,-14.7065
2019-01-14,Ethereum,10.4116
2019-02-08,Ethereum,14.0933
